"County","County.Code","Deaths","Population","Crude.Rate"
"Autauga County, AL","01001",29,55601,"52.2"
"Baldwin County, AL","01003",26,218022,"11.9"
"Butler County, AL","01013",12,19680,"Unreliable"
"Calhoun County, AL","01015",14,114277,"Unreliable"
"Chambers County, AL","01017",21,33615,"62.5"
"Cherokee County, AL","01019",13,26032,"Unreliable"
"Clarke County, AL","01025",14,23920,"Unreliable"
"Coffee County, AL","01031",14,51909,"Unreliable"
"Covington County, AL","01039",14,36986,"Unreliable"
"Cullman County, AL","01043",22,83442,"26.4"
"Dale County, AL","01045",17,48956,"Unreliable"
"DeKalb County, AL","01049",36,71385,"50.4"
"Elmore County, AL","01051",24,81887,"29.3"
"Escambia County, AL","01053",24,36748,"65.3"
"Etowah County, AL","01055",48,102501,"46.8"
"Geneva County, AL","01061",16,26314,"Unreliable"
"Houston County, AL","01069",15,104722,"Unreliable"
"Jackson County, AL","01071",14,51736,"Unreliable"
"Jefferson County, AL","01073",141,659300,"21.4"
"Lauderdale County, AL","01077",13,92387,"Unreliable"
"Lee County, AL","01081",47,163941,"28.7"
"Madison County, AL","01089",57,366519,"15.6"
"Marshall County, AL","01095",23,96109,"23.9"
"Mobile County, AL","01097",87,413757,"21"
"Monroe County, AL","01099",10,21067,"Unreliable"
"Montgomery County, AL","01101",96,225763,"42.5"
"Morgan County, AL","01103",13,119089,"Unreliable"
"Pike County, AL","01109",13,33338,"Unreliable"
"Russell County, AL","01113",39,57781,"67.5"
"St. Clair County, AL","01115",19,88690,"Unreliable"
"Shelby County, AL","01117",19,215707,"Unreliable"
"Talladega County, AL","01121",15,79828,"Unreliable"
"Tallapoosa County, AL","01123",17,40497,"Unreliable"
"Tuscaloosa County, AL","01125",20,208911,"9.6"
"Walker County, AL","01127",15,63711,"Unreliable"
"Washington County, AL","01129",14,16378,"Unreliable"
"Anchorage Borough, AK","02020",57,291538,"19.6"
"Fairbanks North Star Borough, AK","02090",12,98971,"Unreliable"
"Kenai Peninsula Borough, AK","02122",14,58533,"Unreliable"
"Matanuska-Susitna Borough, AK","02170",17,107610,"Unreliable"
"Apache County, AZ","04001",26,71818,"36.2"
"Cochise County, AZ","04003",50,126770,"39.4"
"Coconino County, AZ","04005",29,142854,"20.3"
"Gila County, AZ","04007",21,53889,"39"
"Graham County, AZ","04009",21,38072,"55.2"
"Maricopa County, AZ","04013",1080,4410824,"24.5"
"Mohave County, AZ","04015",90,209550,"42.9"
"Navajo County, AZ","04017",64,110445,"57.9"
"Pima County, AZ","04019",370,1039073,"35.6"
"Pinal County, AZ","04021",122,447138,"27.3"
"Yavapai County, AZ","04025",65,231993,"28"
"Yuma County, AZ","04027",92,212128,"43.4"
"Arkansas County, AR","05001",11,17769,"Unreliable"
"Baxter County, AR","05005",20,41619,"48.1"
"Benton County, AR","05007",109,272608,"40"
"Carroll County, AR","05015",11,28223,"Unreliable"
"Chicot County, AR","05017",11,10438,"Unreliable"
"Clark County, AR","05019",10,22061,"Unreliable"
"Clay County, AR","05021",11,14847,"Unreliable"
"Cleburne County, AR","05023",12,24965,"Unreliable"
"Columbia County, AR","05027",10,23537,"Unreliable"
"Craighead County, AR","05031",16,108558,"Unreliable"
"Crawford County, AR","05033",23,63406,"36.3"
"Crittenden County, AR","05035",26,48342,"53.8"
"Cross County, AR","05037",16,16676,"Unreliable"
"Drew County, AR","05043",13,18328,"Unreliable"
"Faulkner County, AR","05045",20,124806,"16"
"Garland County, AR","05051",33,99154,"33.3"
"Greene County, AR","05055",23,45325,"50.7"
"Jackson County, AR","05067",11,16811,"Unreliable"
"Jefferson County, AR","05069",22,68114,"32.3"
"Little River County, AR","05081",10,12326,"Unreliable"
"Logan County, AR","05083",12,21737,"Unreliable"
"Lonoke County, AR","05085",37,73657,"50.2"
"Madison County, AR","05087",10,16481,"Unreliable"
"Marion County, AR","05089",10,16722,"Unreliable"
"Miller County, AR","05091",36,43592,"82.6"
"Mississippi County, AR","05093",30,41239,"72.7"
"Phillips County, AR","05107",18,18029,"Unreliable"
"Poinsett County, AR","05111",12,23974,"Unreliable"
"Polk County, AR","05113",13,20049,"Unreliable"
"Pope County, AR","05115",21,64000,"32.8"
"Pulaski County, AR","05119",194,392680,"49.4"
"St. Francis County, AR","05123",11,25439,"Unreliable"
"Saline County, AR","05125",35,121421,"28.8"
"Sebastian County, AR","05131",57,127753,"44.6"
"Sharp County, AR","05135",15,17366,"Unreliable"
"Union County, AR","05139",19,39126,"Unreliable"
"Washington County, AR","05143",46,236961,"19.4"
"White County, AR","05145",25,78727,"31.8"
"Alameda County, CA","06001",320,1666753,"19.2"
"Butte County, CA","06007",47,231256,"20.3"
"Calaveras County, CA","06009",19,45602,"Unreliable"
"Contra Costa County, CA","06013",225,1150215,"19.6"
"El Dorado County, CA","06017",36,190678,"18.9"
"Fresno County, CA","06019",294,994400,"29.6"
"Glenn County, CA","06021",11,28047,"Unreliable"
"Humboldt County, CA","06023",48,136373,"35.2"
"Imperial County, CA","06025",68,181827,"37.4"
"Kern County, CA","06029",300,896764,"33.5"
"Kings County, CA","06031",21,151366,"13.9"
"Lake County, CA","06033",15,64382,"Unreliable"
"Los Angeles County, CA","06037",2702,10105518,"26.7"
"Madera County, CA","06039",44,157672,"27.9"
"Marin County, CA","06041",43,259666,"16.6"
"Mendocino County, CA","06045",18,87606,"Unreliable"
"Merced County, CA","06047",71,274765,"25.8"
"Monterey County, CA","06053",75,435594,"17.2"
"Napa County, CA","06055",33,139417,"23.7"
"Nevada County, CA","06057",22,99696,"22.1"
"Orange County, CA","06059",542,3185968,"17"
"Placer County, CA","06061",84,393149,"21.4"
"Riverside County, CA","06065",449,2450758,"18.3"
"Sacramento County, CA","06067",498,1540975,"32.3"
"San Benito County, CA","06069",15,61537,"Unreliable"
"San Bernardino County, CA","06071",700,2171603,"32.2"
"San Diego County, CA","06073",778,3343364,"23.3"
"San Francisco County, CA","06075",129,883305,"14.6"
"San Joaquin County, CA","06077",201,752660,"26.7"
"San Luis Obispo County, CA","06079",40,284010,"14.1"
"San Mateo County, CA","06081",103,769545,"13.4"
"Santa Barbara County, CA","06083",89,446527,"19.9"
"Santa Clara County, CA","06085",445,1937570,"23"
"Santa Cruz County, CA","06087",46,274255,"16.8"
"Shasta County, CA","06089",57,180040,"31.7"
"Siskiyou County, CA","06093",21,43724,"48"
"Solano County, CA","06095",166,446610,"37.2"
"Sonoma County, CA","06097",117,499942,"23.4"
"Stanislaus County, CA","06099",173,549815,"31.5"
"Sutter County, CA","06101",28,96807,"28.9"
"Tehama County, CA","06103",27,63916,"42.2"
"Tulare County, CA","06107",84,465861,"18"
"Tuolumne County, CA","06109",12,54539,"Unreliable"
"Ventura County, CA","06111",184,850967,"21.6"
"Yolo County, CA","06113",36,220408,"16.3"
"Yuba County, CA","06115",12,78041,"Unreliable"
"Adams County, CO","08001",82,511868,"16"
"Arapahoe County, CO","08005",99,651215,"15.2"
"Boulder County, CO","08013",31,326078,"9.5"
"Denver County, CO","08031",125,716492,"17.4"
"Douglas County, CO","08035",39,342776,"11.4"
"El Paso County, CO","08041",147,713856,"20.6"
"Jefferson County, CO","08059",67,580233,"11.5"
"Larimer County, CO","08069",62,350518,"17.7"
"Mesa County, CO","08077",39,153207,"25.5"
"Montezuma County, CO","08083",15,26158,"Unreliable"
"Montrose County, CO","08085",10,42214,"Unreliable"
"Pueblo County, CO","08101",60,167529,"35.8"
"Weld County, CO","08123",71,314305,"22.6"
"Fairfield County, CT","09001",137,943823,"14.5"
"Hartford County, CT","09003",191,892697,"21.4"
"Litchfield County, CT","09005",35,181111,"19.3"
"Middlesex County, CT","09007",35,162682,"21.5"
"New Haven County, CT","09009",191,857620,"22.3"
"New London County, CT","09011",63,266784,"23.6"
"Tolland County, CT","09013",21,150921,"13.9"
"Windham County, CT","09015",35,117027,"29.9"
"Kent County, DE","10001",44,178550,"24.6"
"New Castle County, DE","10003",138,559335,"24.7"
"Sussex County, DE","10005",56,229286,"24.4"
"District of Columbia, DC","11001",144,702455,"20.5"
"Alachua County, FL","12001",53,269956,"19.6"
"Bay County, FL","12005",82,185287,"44.3"
"Brevard County, FL","12009",188,596849,"31.5"
"Broward County, FL","12011",404,1951260,"20.7"
"Charlotte County, FL","12015",83,184998,"44.9"
"Citrus County, FL","12017",101,147929,"68.3"
"Clay County, FL","12019",44,216072,"20.4"
"Collier County, FL","12021",80,378488,"21.1"
"Columbia County, FL","12023",28,70503,"39.7"
"DeSoto County, FL","12027",18,37489,"Unreliable"
"Duval County, FL","12031",266,950181,"28"
"Escambia County, FL","12033",103,315534,"32.6"
"Flagler County, FL","12035",56,112067,"50"
"Gadsden County, FL","12039",16,45894,"Unreliable"
"Hardee County, FL","12049",13,27245,"Unreliable"
"Hendry County, FL","12051",13,41556,"Unreliable"
"Hernando County, FL","12053",141,190865,"73.9"
"Highlands County, FL","12055",36,105424,"34.1"
"Hillsborough County, FL","12057",300,1436888,"20.9"
"Holmes County, FL","12059",12,19477,"Unreliable"
"Indian River County, FL","12061",57,157413,"36.2"
